;row;job_commit;comment_commit;gh_pull_req_num;gh_comment_id;gh_comment_type;gh_created_at;gh_updated_at;gh_user_id;gh_user_login;gh_body;gh_reactions
0;1340.0;80be5283c15bdc329c20396cdcd46e1c167fbd88;80be5283c15bdc329c20396cdcd46e1c167fbd88;;2470380.0;repo;2013-01-21T13:55:30Z;2013-01-21T13:55:30Z;217842.0;AnthonyMastrean;Nice, thanks for taking care of this. I just wasn't able to sit down and look into it.;
1;1330.0;3db254801006540df3aca84a0e0cfd4af99e97d4;3db254801006540df3aca84a0e0cfd4af99e97d4;;2470383.0;repo;2013-01-21T13:56:00Z;2013-01-21T13:56:00Z;217842.0;AnthonyMastrean;Yeah, this has only been a pain in the ass. YAGNI, I guess?!;
2;1331.0;3db254801006540df3aca84a0e0cfd4af99e97d4;3db254801006540df3aca84a0e0cfd4af99e97d4;;2470383.0;repo;2013-01-21T13:56:00Z;2013-01-21T13:56:00Z;217842.0;AnthonyMastrean;Yeah, this has only been a pain in the ass. YAGNI, I guess?!;
3;1330.0;3db254801006540df3aca84a0e0cfd4af99e97d4;3db254801006540df3aca84a0e0cfd4af99e97d4;;2476068.0;repo;2013-01-22T10:15:33Z;2013-01-22T10:15:33Z;193115.0;haf;Yup;
4;1331.0;3db254801006540df3aca84a0e0cfd4af99e97d4;3db254801006540df3aca84a0e0cfd4af99e97d4;;2476068.0;repo;2013-01-22T10:15:33Z;2013-01-22T10:15:33Z;193115.0;haf;Yup;
5;1340.0;80be5283c15bdc329c20396cdcd46e1c167fbd88;80be5283c15bdc329c20396cdcd46e1c167fbd88;;2476089.0;repo;2013-01-22T10:18:19Z;2013-01-22T10:18:19Z;193115.0;haf;No problem;
6;1340.0;80be5283c15bdc329c20396cdcd46e1c167fbd88;80be5283c15bdc329c20396cdcd46e1c167fbd88;;2476092.0;repo;2013-01-22T10:18:40Z;2013-01-22T10:18:40Z;193115.0;haf;Do we have something running at codebetter too?;
7;1340.0;80be5283c15bdc329c20396cdcd46e1c167fbd88;80be5283c15bdc329c20396cdcd46e1c167fbd88;;2496257.0;repo;2013-01-24T20:56:25Z;2013-01-24T20:56:25Z;217842.0;AnthonyMastrean;Not that I know of. Soudned like @adamralph was running some Rake builds using Albacore at Codebetter (Issue #27). Maybe we could get on a Windows build agent at Codebetter and run some specs?;
8;1340.0;80be5283c15bdc329c20396cdcd46e1c167fbd88;80be5283c15bdc329c20396cdcd46e1c167fbd88;;2496291.0;repo;2013-01-24T21:00:48Z;2013-01-24T21:00:48Z;677704.0;adamralph;"Yep, I have two rake+Albacore builds running at codebetter - they work just fine.
http://teamcity.codebetter.com/viewType.html?buildTypeId=bt635 and http://teamcity.codebetter.com/viewType.html?buildTypeId=bt834";
9;752.0;e38466dd0f20b5f95107c9b9b851b2486eda8609;e38466dd0f20b5f95107c9b9b851b2486eda8609;;3858107.0;repo;2013-08-14T11:52:47Z;2013-08-14T11:52:47Z;193115.0;haf;Can you do this for clean_slate as well?;
10;753.0;e38466dd0f20b5f95107c9b9b851b2486eda8609;e38466dd0f20b5f95107c9b9b851b2486eda8609;;3858107.0;repo;2013-08-14T11:52:47Z;2013-08-14T11:52:47Z;193115.0;haf;Can you do this for clean_slate as well?;
11;749.0;8c1659ec828d50b1e40fd20f59b5d71b97ee443f;d5efef397ca5d1f33379a52fc6ca08ab6dc3584b;;3889884.0;repo;2013-08-19T13:46:52Z;2013-08-19T13:46:52Z;217842.0;AnthonyMastrean;"This statement can be dramatically simplified. You should almost never provide `nil` as [a default value][1] or use `nil?` in a conditional like this.

```ruby
Albacore.log_level = Logger::DEBUG if ENV[""DEBUG""]
```

 [1]: http://www.ruby-doc.org/core-2.0/ENV.html#method-c-fetch";
12;749.0;8c1659ec828d50b1e40fd20f59b5d71b97ee443f;d5efef397ca5d1f33379a52fc6ca08ab6dc3584b;;3889903.0;repo;2013-08-19T13:48:30Z;2013-08-19T13:48:30Z;217842.0;AnthonyMastrean;"There's some [ruby style guide warnings][1] about using these `STD*` constants. Not sure if it applies here, but good reading.

 [1]: https://github.com/bbatsov/ruby-style-guide";
13;749.0;8c1659ec828d50b1e40fd20f59b5d71b97ee443f;d5efef397ca5d1f33379a52fc6ca08ab6dc3584b;;3889915.0;repo;2013-08-19T13:50:00Z;2013-08-19T13:50:00Z;217842.0;AnthonyMastrean;"In Ruby, only `nil` and `false` evaluate to `false`. You can rewrite these statements to say ""raise an argument error unless the argument has a value""

```ruby
raise ArgumentError, ""blah blah blah"" unless output
```";
14;749.0;8c1659ec828d50b1e40fd20f59b5d71b97ee443f;d5efef397ca5d1f33379a52fc6ca08ab6dc3584b;;3889931.0;repo;2013-08-19T13:51:37Z;2013-08-19T13:51:37Z;217842.0;AnthonyMastrean;When I'm not operating on the `*args`, I've taken to just sending them down to the Rake library. Let them pass/fail down there.;
15;749.0;8c1659ec828d50b1e40fd20f59b5d71b97ee443f;d5efef397ca5d1f33379a52fc6ca08ab6dc3584b;;3889939.0;repo;2013-08-19T13:53:05Z;2013-08-19T13:53:05Z;217842.0;AnthonyMastrean;"I think If you want to use this as a ""constructor"", you have to use the US English spelling `initialize`";
16;749.0;8c1659ec828d50b1e40fd20f59b5d71b97ee443f;d5efef397ca5d1f33379a52fc6ca08ab6dc3584b;;3889974.0;repo;2013-08-19T13:56:33Z;2013-08-19T13:56:33Z;217842.0;AnthonyMastrean;I'm not sold on guarding against bad input. We can't avoid the user setting a property to `nil` or forgetting that some property should be an array assignment. I'm not sure this line is all bad, but it reminded me of the problem.;
17;749.0;8c1659ec828d50b1e40fd20f59b5d71b97ee443f;d5efef397ca5d1f33379a52fc6ca08ab6dc3584b;;3890013.0;repo;2013-08-19T14:02:12Z;2013-08-19T14:02:12Z;217842.0;AnthonyMastrean;"I've got a ton of catching up to do in the clean slate, but it looks good. I'm playing with some ideas over in a personal repo. The issues list is really a list of experiments and things to research.

 * [Tunny][1] (pronounced ""too-/nee/"", which is a nickname for a small kind of tuna)

 [1]: https://github.com/anthonymastrean/tunny";
18;749.0;8c1659ec828d50b1e40fd20f59b5d71b97ee443f;d5efef397ca5d1f33379a52fc6ca08ab6dc3584b;;3890073.0;repo;2013-08-19T14:08:52Z;2013-08-19T14:08:52Z;193115.0;haf;Yes, I am just playing around here. What do you think of the class as such?;
19;749.0;8c1659ec828d50b1e40fd20f59b5d71b97ee443f;d5efef397ca5d1f33379a52fc6ca08ab6dc3584b;;3890084.0;repo;2013-08-19T14:10:20Z;2013-08-19T14:10:20Z;193115.0;haf;FIxed on `nuspec_refactoring`;
20;812.0;6084a7e08ef25b10f7b338b89b90d2a3d7c0fd4f;6084a7e08ef25b10f7b338b89b90d2a3d7c0fd4f;;3910371.0;repo;2013-08-21T13:22:02Z;2013-08-21T13:22:02Z;217842.0;AnthonyMastrean;I'm with you, don't start by adding it, add it when the community reaaaaally asks for it. We're not an enterprise app that needs JVM garbage collection, threading, and speed.;
21;834.0;c4124c8d0e66f3a2cdcfe81c4041a723f43054f5;ea1c517ccac128d01556998c5a7478b1113551d7;;4040023.0;repo;2013-09-08T09:13:50Z;2013-09-08T09:13:50Z;193115.0;haf;"Who is this ""unknown"" person, @AnthonyMastrean ?";
22;835.0;c4124c8d0e66f3a2cdcfe81c4041a723f43054f5;ea1c517ccac128d01556998c5a7478b1113551d7;;4040023.0;repo;2013-09-08T09:13:50Z;2013-09-08T09:13:50Z;193115.0;haf;"Who is this ""unknown"" person, @AnthonyMastrean ?";
23;834.0;c4124c8d0e66f3a2cdcfe81c4041a723f43054f5;ea1c517ccac128d01556998c5a7478b1113551d7;;4044980.0;repo;2013-09-09T13:21:43Z;2013-09-09T13:21:43Z;217842.0;AnthonyMastrean;Sorry, that's me, I was committing from a new machine and I setup my SSH keys, but not my username/email. Didn't notice until after the push. And I don't know how to fix it.;
24;835.0;c4124c8d0e66f3a2cdcfe81c4041a723f43054f5;ea1c517ccac128d01556998c5a7478b1113551d7;;4044980.0;repo;2013-09-09T13:21:43Z;2013-09-09T13:21:43Z;217842.0;AnthonyMastrean;Sorry, that's me, I was committing from a new machine and I setup my SSH keys, but not my username/email. Didn't notice until after the push. And I don't know how to fix it.;
25;910.0;8f30fbe00dbf453dfd0fc2f9f1fb63ef67aeb1e8;8f30fbe00dbf453dfd0fc2f9f1fb63ef67aeb1e8;;4580251.0;repo;2013-11-12T20:37:33Z;2013-11-12T20:37:33Z;193115.0;haf;You need parens.;
26;911.0;8f30fbe00dbf453dfd0fc2f9f1fb63ef67aeb1e8;8f30fbe00dbf453dfd0fc2f9f1fb63ef67aeb1e8;;4580251.0;repo;2013-11-12T20:37:33Z;2013-11-12T20:37:33Z;193115.0;haf;You need parens.;
27;910.0;8f30fbe00dbf453dfd0fc2f9f1fb63ef67aeb1e8;8f30fbe00dbf453dfd0fc2f9f1fb63ef67aeb1e8;;4581407.0;repo;2013-11-12T22:28:05Z;2013-11-12T22:28:05Z;217842.0;AnthonyMastrean;"Yeah, I always mess that up, I'm beginning to think that Ruby's sometimes-unnecessary-parens are a bad thing and I should just always use them ;)";
28;911.0;8f30fbe00dbf453dfd0fc2f9f1fb63ef67aeb1e8;8f30fbe00dbf453dfd0fc2f9f1fb63ef67aeb1e8;;4581407.0;repo;2013-11-12T22:28:05Z;2013-11-12T22:28:05Z;217842.0;AnthonyMastrean;"Yeah, I always mess that up, I'm beginning to think that Ruby's sometimes-unnecessary-parens are a bad thing and I should just always use them ;)";
29;916.0;f777f5989cf1293aeeba5def6264449ec3207e50;f777f5989cf1293aeeba5def6264449ec3207e50;;4600936.0;repo;2013-11-14T15:13:13Z;2013-11-14T15:13:13Z;193115.0;haf;Of course I misspell the commit message.;
30;1207.0;828a556328c86a819211b002877f625610fbfc0d;df42c4314e1ff75476d5d7aa25011a2ec9b396f9;17.0;1608429.0;pull_r;2012-09-14T15:09:27Z;2012-09-14T17:26:17Z;217842.0;AnthonyMastrean;Can you fix this typo?;
31;1207.0;828a556328c86a819211b002877f625610fbfc0d;df42c4314e1ff75476d5d7aa25011a2ec9b396f9;17.0;1608957.0;pull_r;2012-09-14T15:58:23Z;2012-09-14T17:26:17Z;193115.0;haf;Not in F#.;
